0,331.149
1,331.56
2,150.122
3,99.975
4,77.007
5,74.0569
6,72.8597
7,71.1248
8,71.676
9,67.8196
10,65.8165
11,63.5173
12,64.2673
13,58.7573
14,56.3076
15,53.8539
16,53.6001
17,47.9295
18,46.1521
19,44.6977
20,45.6447
21,43.5208
22,42.3654
23,41.1385
24,41.5282
25,39.8837
26,39.3804
27,38.8331
28,38.8463
29,37.4304
30,37.2873
31,37.5185
32,40.8831
33,37.2102
34,36.0144
35,35.2009
36,34.9223
37,34.2024
38,34.029
39,33.7938
40,34.1686
41,33.2594
42,32.7842
43,32.3935
44,32.0667
45,31.5209
46,31.1579
47,30.8916
48,30.8356
49,30.8436
50,31.0982
51,31.2787
52,31.9183
53,31.957
54,32.1828
55,32.6375
56,33.1712
57,33.1537
58,33.6691
59,34.2119
60,34.965
61,35.4612
62,35.6936
63,36.807
