0,303.183
1,303.203
2,302.839
3,303.03
4,308.384
5,290.662
6,290.891
7,290.98
8,312.114
9,293.076
10,293.488
11,292.987
12,313.91
13,294.1
14,293.992
15,294.19
16,326.82
17,293.866
18,293.542
19,294.064
20,313.643
21,293.273
22,293.076
23,293.183
24,312.398
25,290.962
26,290.909
27,290.75
28,308.344
29,303.202
30,303.356
31,303.817
32,331.56
33,301.868
34,301.621
35,302.4
36,307.397
37,290.363
38,290.258
39,290.627
40,311.466
41,292.237
42,292.22
43,292.433
44,312.969
45,293.237
46,293.309
47,293.291
48,326.442
49,293.273
50,293.13
51,293.04
52,313.254
53,292.237
54,292.451
55,292.397
56,311.405
57,290.223
58,290.346
59,287.58
60,176.263
61,187.801
62,187.164
63,187.04
