0,98.1675
1,98.3425
2,98.4111
3,98.3506
4,125.189
5,92.5569
6,92.6462
7,92.6945
8,126.19
9,92.8703
10,92.7429
11,92.5194
12,126.9
13,97.0599
14,97.4916
15,97.4659
16,162.927
17,97.1443
18,97.4956
19,97.4223
20,125.166
21,91.9205
22,91.8766
23,91.7606
24,122.838
25,91.4686
26,91.4007
27,91.7361
28,122.48
29,98.5464
30,98.5505
31,98.5302
32,162.53
33,97.9172
34,98.0112
35,97.7417
36,125.408
37,92.5836
38,92.5158
39,92.3467
40,126.396
41,92.7267
42,92.425
43,93.007
44,126.505
45,97.2407
46,97.8453
47,97.1443
48,163.11
49,97.4995
50,97.3472
51,97.225
52,124.961
53,92.2331
54,91.722
55,91.9346
56,124.339
57,91.617
58,91.4425
59,91.1732
60,122.443
61,98.4918
62,98.2177
63,98.3687
